Date,Incident ID,Assigned To,Incident Description,Proposed Fix,Status,Reopened,Aging,Priority
,INC088,,Not able to add new customer,New Customer,,,,
,INC089,,Not able to delete customer,Delete Customer,,,,
,INC090,,Not able to find customer usind customer ID,Customer usind In Id,,,,
,INC091,,Order details missing from inventory page,Inventory Page,,,,
,INC092,,Order details missing from distribution page,Distribution Page,,,,
,INC093,,Order details missing from warehouse page,Warehouse Page,,,,
,INC094,,How to change role?,Change Role?,,,,
,INC095,,Issue while changing role,Changing Role,,,,
,INC096,,Freight request,Freight ,,,,
,INC097,,Shipping request,Shipping ,,,,
,INC098,,Delivery request ,Delivery ,,,,
,INC099,,Cancel freight,Cancel ,,,,
,INC100,,Cancel shipping,Cancel ,,,,
,INC101,,Cancel delivery,Cancel ,,,,
,INC102,,Cancel order,Cancel ,,,,
,INC103,,Error while creating freight request,Freight ,,,,
,INC104,,Error while creating  shipping request,Shipping ,,,,
,INC105,,Error while creating delivery request,Delivery Request,,,,
,INC106,,Error while cancelling freight request,Freight Request,,,,
,INC107,,Error while cancelling shipping request,Shipping Request,,,,
,INC108,,Error while cancelling delivery request,Delivery Request,,,,
,INC109,,Change request from freight to shipping,To Shipping,,,,
,INC110,,Change request from shipping to freight,To Freight,,,,
,INC111,,Value of address field is not showing correctly,Not currect,,,,
,INC112,,Value of name field is  not showing correctly,Not currect,,,,
,INC113,,Company name is not showing correct value,Not currect,,,,
,INC114,,Project completion error,Completion Error,,,,
,INC115,,Order completion error,Completion Error,,,,
,INC116,,Delivery completion error,Completion Error,,,,
,INC117,,Inconsistent sales numbers,Sales Numbers,,,,
,INC118,,Incostistant tax information,Tax Information,,,,
,INC119,,Wrong deletion of invoice,Of Invoice,,,,
,INC120,,Wrong deletion of customer,Of Customer,,,,
,INC121,,How to recover wrong product data,Product Data,,,,
,INC122,,Wrong status update,Status Update,,,,
,INC123,,High memory useage error,Useage Error,,,,
,INC124,,Out of memory error,Memory Error,,,,
,INC125,,Available memory not utilized,Not Utilized,,,,
,INC126,,Not utilizing available memory,Available Memory,,,,
,INC127,,Customer satisfaction report failure,Report Failure,,,,
,INC128,,timesheet report failure,Report Failure,,,,
,INC129,,Sales report failure,Report Failure,,,,
,INC130,,Customer acquisition report failure,Report Failure,,,,
,INC131,,Vendor delay report failure,Report Failure,,,,
