Ticket Number,Date,Application,Description,Incident Description,Steps Taken,Proposed Fix,ErrorNo
TK0039,5/7/2020,SP_SYS,Error when attempting to delete customer account,SP_SYS Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0040,5/8/2020,SP_SYS,Error when attempting to add new product,SP_SYS Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0041,5/9/2020,SP_SYS,Error when attempting to change password,SP_SYS Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0042,5/10/2020,SP_SYS,Error when attempting to generate invoice,SP_SYS Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0043,5/11/2020,SP_SYS,Unable to save changes to customer account,SP_SYS Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0044,5/12/2020,SP_SYS,Error when attempting to add new order,SP_SYS Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,ERRSYS0443
TK0045,5/13/2020,SP_SYS,Error when attempting to run report,SP_SYS Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0046,5/14/2020,SP_SYS,Error when attempting to add new user,SP_SYS Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0047,5/15/2020,SP_SYS,Error when attempting to update inventory,SP_SYS Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0048,5/16/2020,SP_SYS,Error when attempting to delete customer account,SP_SYS Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0049,5/17/2020,SP_SYS,Error when attempting to add new product,SP_SYS Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0050,5/18/2020,SP_SYS,Error when attempting to change password,SP_SYS Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0051,5/19/2020,SP_SYS,Error when attempting to generate invoice,SP_SYS Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0052,5/20/2020,SP_SYS,Unable to save changes to customer account,SP_SYS Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0053,5/21/2020,SP_SYS,Error when attempting to add new order,SP_SYS Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0054,5/22/2020,SP_SYS,Error when attempting to run report,SP_SYS Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0055,5/23/2020,SP_SYS,Error when attempting to add new user,SP_SYS Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0056,5/24/2020,SP_SYS,Error when attempting to update inventory,SP_SYS Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0057,5/25/2020,SP_SYS,Error when attempting to delete customer account,SP_SYS Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0058,5/26/2020,SP_SYS,Error when attempting to add new product,SP_SYS Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0059,5/27/2020,SP_SYS,Error when attempting to change password,SP_SYS Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0060,5/28/2020,SP_SYS,Error when attempting to generate invoice,SP_SYS Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0061,5/29/2020,SP_SYS,Unable to save changes to customer account,SP_SYS Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0062,5/30/2020,SP_SYS,Error when attempting to add new order,SP_SYS Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,ERRSYS0443
TK0063,5/31/2020,SP_SYS,Error when attempting to run report,SP_SYS Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0064,6/1/2020,SP_SYS,Error when attempting to add new user,SP_SYS Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0065,6/2/2020,SP_SYS,Error when attempting to update inventory,SP_SYS Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0066,6/3/2020,SP_SYS,Error when attempting to delete customer account,SP_SYS Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0067,6/4/2020,SP_SYS,Error when attempting to add new product,SP_SYS Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0068,6/5/2020,SP_SYS,Error when attempting to change password,SP_SYS Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0069,6/6/2020,SP_SYS,Error when attempting to generate invoice,SP_SYS Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0070,6/7/2020,SP_SYS,Unable to save changes to customer account,SP_SYS Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,ERRSYS0127
TK0071,6/8/2020,SP_SYS,Error when attempting to add new order,SP_SYS Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0072,6/9/2020,SP_SYS,Error when attempting to run report,SP_SYS Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0073,6/10/2020,SP_SYS,Error when attempting to add new user,SP_SYS Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
TK0074,6/11/2020,SP_SYS,Error when attempting to update inventory,SP_SYS Error when attempting to update inventory,Reviewed inventory settings and found no errors,Updated inventory settings and user was able to update inventory successfully.,
TK0075,6/12/2020,SP_SYS,Error when attempting to delete customer account,SP_SYS Error when attempting to delete customer account,Reviewed customer account settings and found no issues,Verified user permissions and user was able to delete customer account.,
TK0076,6/13/2020,SP_SYS,Error when attempting to add new product,SP_SYS Error when attempting to add new product,Reviewed product form and found no errors,Verified user permissions and user was able to add new product.,
TK0077,6/14/2020,SP_SYS,Error when attempting to change password,SP_SYS Error when attempting to change password,Reviewed password settings and found no errors,Updated password settings and user was able to change password successfully.,
TK0078,6/15/2020,SP_SYS,Error when attempting to generate invoice,SP_SYS Error when attempting to generate invoice,Reviewed invoice form and found no errors,Verified user permissions and user was able to generate invoice.,
TK0079,6/16/2020,SP_SYS,Unable to save changes to customer account,SP_SYS Unable to save changes to customer account,Reviewed customer account settings and found no errors,Reset customer account password and user was able to save changes successfully.,
TK0080,6/17/2020,SP_SYS,Error when attempting to add new order,SP_SYS Error when attempting to add new order,Reviewed order form and found no issues,Verified user permissions and user was able to add new order.,
TK0081,6/18/2020,SP_SYS,Error when attempting to run report,SP_SYS Error when attempting to run report,Ran report manually and found no errors,Updated report settings and user was able to run report successfully.,
TK0082,6/19/2020,SP_SYS,Error when attempting to add new user,SP_SYS Error when attempting to add new user,Reviewed user form and found no errors,Verified user permissions and user was able to add new user.,
1,25/07/20,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly after checked Network connection,
2,25/07/20,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent after running consistency Checker,
3,25/07/20,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login after password Reset,
4,25/07/20,SP_FCL,Data is not getting updated,SP_FCL Data is not getting updated,Checked the timestamps of the data Reset the system timestamp,Reset to Timestamp. Data is now updated,
5,26/07/20,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions ,Updated the user permissions to allow the menu options User is now able to access the menu options,
6,26/07/20,SP_FCL,Incorrect data in the report,SP_FCL Incorrect data in the report,Checked the data in the report ,Re run the report again Data is now correct,
7,26/07/20,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format ,Changed the data format Data is now saving without any error message,ERRFCL0111
8,26/07/20,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability ,Rebooted the system System is now accessible,
9,27/07/20,SP_FCL,Data is not getting updated,SP_FCL Data is not getting updated,Checked the timestamps of the data ,Synchronized the system time Data is now updated after Synchorization,
10,27/07/20,SP_FCL,Incorrect data in the report,SP_FCL Incorrect data in the report,Checked the data in the report Report Ran on old Data. ,Rerun Report and Data Looks Correct now,
11,27/07/20,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format ,Changed the data format Data is now saving without any error message,
12,27/07/20,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection,Reinstate the Network Connection Connection is working properly,
13,28/07/20,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems ,Ran the consistency checker Data is now consistent,
14,28/07/20,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions,Reset the user password User is now able to login after credential updated,
15,28/07/20,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions,Updated the user permissions User is now able to access the menu options after updating the sychornization,
16,29/07/20,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,Sytem Rebooted and System is now accessible,
17,29/07/20,SP_FCL,Data is not getting updated,SP_FCL Data is not getting updated,Checked the timestamps of the data,Synchronized the system time and Data Data is now updated,
18,29/07/20,SP_FCL,Incorrect data in the report,SP_FCL Incorrect data in the report,Checked the data in the report ,Re run the report again Data is now correct,
19,29/07/20,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format ,Changed the data format Data is now saving without any error message,
21,30/07/20,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
22,30/07/20,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
23,30/07/20,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions ,Updated the user permissions User is now able to access the menu options,
24,31/07/20,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability,Rebooted the system System is now accessible,
25,31/07/20,SP_FCL,Data is not getting updated,SP_FCL Data is not getting updated,Checked the timestamps of the data ,Synchronized the system time Data is now updated,
26,31/07/20,SP_FCL,Incorrect data in the report,SP_FCL Incorrect data in the report,Checked the data in the report ,Re Run the report again Data is now correct,
29,1/8/2020,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems ,Ran the consistency checker Data is now consistent,
30,1/8/2020,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions ,Reset the user password User is now able to login,ERRFCL0212
35,2/8/2020,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
36,3/8/2020,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
37,3/8/2020,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
38,3/8/2020,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
39,3/8/2020,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
40,4/8/2020,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
41,4/8/2020,SP_FCL,Data is not getting updated,SP_FCL Data is not getting updated,Checked the timestamps of the data Synchronized the system time,Data is now updated,
42,4/8/2020,SP_FCL,Incorrect data in the report,SP_FCL Incorrect data in the report,Checked the data in the report Ran the report again,Data is now correct,
43,4/8/2020,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
44,5/8/2020,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
45,5/8/2020,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker, Data is now consistent,
46,5/8/2020,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
47,5/8/2020,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
48,6/8/2020,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
51,6/8/2020,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
52,7/8/2020,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
53,7/8/2020,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
54,7/8/2020,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
55,7/8/2020,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
56,8/8/2020,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
59,8/8/2020,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,ERRFCL0111
60,9/8/2020,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
61,9/8/2020,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
62,9/8/2020,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
63,9/8/2020,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
64,10/8/2020,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
67,10/8/2020,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
68,11/8/2020,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
69,11/8/2020,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
70,11/8/2020,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
71,11/8/2020,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
72,12/8/2020,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
75,12/8/2020,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
76,13/08/20,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
77,13/08/20,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
78,13/08/20,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
79,13/08/20,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,ERRFCL0143
80,14/08/20,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
83,14/08/20,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
84,15/08/20,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
85,15/08/20,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
86,15/08/20,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
87,15/08/20,SP_FCL,Unable to access the menu options,SP_FCL Unable to access the menu options,Checked the user permissions Updated the user permissions,User is now able to access the menu options,
88,16/08/20,SP_FCL,Unable to access the system,SP_FCL Unable to access the system,Checked the system availability Rebooted the system,System is now accessible,
91,16/08/20,SP_FCL,Error message when trying to save data,SP_FCL Error message when trying to save data,Checked the data format Changed the data format,Data is now saving without any error message,
92,17/08/20,SP_FCL,Unable to connect to SP server,SP_FCL Unable to connect to SP server,Checked the system availability and network connection Tested the connection,Connection is working properly,
93,17/08/20,SP_FCL,Data inconsistency in two systems,SP_FCL Data inconsistency in two systems,Checked the data in both systems Ran the consistency checker,Data is now consistent,
94,17/08/20,SP_FCL,Issue with user authentication,SP_FCL Issue with user authentication,Checked the user credentials and permissions Reset the user password,User is now able to login,
1,4/15/2021,SP_BK,Issue with account postings,SP_BK Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
2,4/16/2021,SP_BK,Error when trying to run report,SP_BK Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
3,4/17/2021,SP_BK,Error when trying to post document,SP_BK Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
4,4/18/2021,SP_BK,Unable to save document,SP_BK Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
5,4/19/2021,SP_BK,Error when trying to create new document,SP_BK Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
6,4/20/2021,SP_BK,Error with document postings,SP_BK Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
7,4/21/2021,SP_BK,Unable to save document,SP_BK Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,ERRBKP0116
8,4/22/2021,SP_BK,Error when trying to create new document,SP_BK Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
9,4/23/2021,SP_BK,Error when trying to post document,SP_BK Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
10,4/24/2021,SP_BK,Issue with account postings,SP_BK Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
11,4/25/2021,SP_BK,Error when trying to run report,SP_BK Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
12,4/26/2021,SP_BK,Error when trying to post document,SP_BK Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
13,4/27/2021,SP_BK,Unable to save document,SP_BK Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,ERRBKP0116
14,4/28/2021,SP_BK,Error when trying to create new document,SP_BK Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
15,4/29/2021,SP_BK,Error with document postings,SP_BK Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
16,4/30/2021,SP_BK,Unable to save document,SP_BK Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
17,5/1/2021,SP_BK,Error when trying to create new document,SP_BK Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
18,5/2/2021,SP_BK,Error when trying to post document,SP_BK Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
19,5/3/2021,SP_BK,Issue with account postings,SP_BK Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
20,5/4/2021,SP_BK,Error when trying to run report,SP_BK Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
21,5/5/2021,SP_BK,Error when trying to post document,SP_BK Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
22,5/6/2021,SP_BK,Unable to save document,SP_BK Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
23,5/7/2021,SP_BK,Error when trying to create new document,SP_BK Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,
24,5/8/2021,SP_BK,Error with document postings,SP_BK Error with document postings,Verified document and checked for posting,Resolved issue by updating document type,
25,5/9/2021,SP_BK,Unable to save document,SP_BK Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
26,5/10/2021,SP_BK,Error when trying to create new document,SP_BK Error when trying to create new document,Verified data and checked for accuracy,Resolved issue by entering valid entry,ERRBKP0634
27,5/11/2021,SP_BK,Error when trying to post document,SP_BK Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
28,5/12/2021,SP_BK,Issue with account postings,SP_BK Issue with account postings,Verified accounts and checked for posting,Resolved issue by updating document type,
29,5/13/2021,SP_BK,Error when trying to run report,SP_BK Error when trying to run report,Verified data and checked for accuracy,Resolved issue by running report in background,
30,5/14/2021,SP_BK,Error when trying to post document,SP_BK Error when trying to post document,Verified document and checked for posting,Resolved issue by changing document type,
31,5/15/2021,SP_BK,Unable to save document,SP_BK Unable to save document,Verified document and checked for saving,Resolved issue by entering new reference number,
